"Team 1";"Team 2";"Score";"Etapa"
"AF";"SB";"2 - 0";"Week 1"
"DRX";"T1";"2 - 1";"Week 1"
"KT";"DYN";"0 - 2";"Week 1"
"SP";"HLE";"2 - 1";"Week 1"
"SB";"DWG";"0 - 2";"Week 1"
"DRX";"GEN";"2 - 1";"Week 1"
"AF";"DYN";"2 - 1";"Week 1"
"T1";"HLE";"2 - 1";"Week 1"
"KT";"GEN";"1 - 2";"Week 1"
"SP";"DWG";"0 - 2";"Week 1"
"DYN";"SP";"2 - 1";"Week 2"
"KT";"HLE";"2 - 0";"Week 2"
"DRX";"SB";"2 - 1";"Week 2"
"DWG";"GEN";"1 - 2";"Week 2"
"AF";"T1";"1 - 2";"Week 2"
"DYN";"HLE";"2 - 0";"Week 2"
"SP";"GEN";"0 - 2";"Week 2"
"KT";"DWG";"0 - 2";"Week 2"
"DRX";"AF";"2 - 0";"Week 2"
"T1";"SB";"2 - 0";"Week 2"
"T1";"DWG";"0 - 2";"Week 3"
"SB";"GEN";"0 - 2";"Week 3"
"AF";"HLE";"2 - 0";"Week 3"
"DRX";"DYN";"2 - 0";"Week 3"
"KT";"SP";"2 - 0";"Week 3"
"T1";"GEN";"2 - 0";"Week 3"
"DWG";"HLE";"2 - 0";"Week 3"
"DYN";"SB";"1 - 2";"Week 3"
"DRX";"SP";"2 - 0";"Week 3"
"AF";"KT";"2 - 0";"Week 3"
"DRX";"KT";"1 - 2";"Week 4"
"SB";"HLE";"2 - 0";"Week 4"
"T1";"SP";"2 - 0";"Week 4"
"AF";"DWG";"0 - 2";"Week 4"
"DYN";"GEN";"0 - 2";"Week 4"
"KT";"SB";"0 - 2";"Week 4"
"DRX";"DWG";"2 - 1";"Week 4"
"AF";"SP";"2 - 0";"Week 4"
"T1";"DYN";"1 - 2";"Week 4"
"HLE";"GEN";"0 - 2";"Week 4"
"AF";"GEN";"0 - 2";"Week 5"
"DYN";"DWG";"0 - 2";"Week 5"
"KT";"T1";"0 - 2";"Week 5"
"SP";"SB";"1 - 2";"Week 5"
"DRX";"HLE";"2 - 0";"Week 5"
"AF";"DWG";"0 - 2";"Week 5"
"KT";"SB";"2 - 0";"Week 5"
"T1";"GEN";"0 - 2";"Week 5"
"SP";"HLE";"1 - 2";"Week 5"
"DRX";"DYN";"2 - 0";"Week 5"
"DRX";"KT";"2 - 1";"Week 6"
"DYN";"GEN";"0 - 2";"Week 6"
"SB";"DWG";"0 - 2";"Week 6"
"AF";"SP";"2 - 0";"Week 6"
"T1";"HLE";"2 - 1";"Week 6"
"DRX";"GEN";"2 - 1";"Week 6"
"SP";"SB";"0 - 2";"Week 6"
"KT";"DYN";"2 - 1";"Week 6"
"AF";"HLE";"2 - 0";"Week 7"
"DRX";"DWG";"0 - 2";"Week 7"
"KT";"T1";"0 - 2";"Week 7"
"DYN";"SB";"1 - 2";"Week 7"
"SP";"GEN";"0 - 2";"Week 7"
"DRX";"AF";"2 - 0";"Week 7"
"DWG";"HLE";"2 - 0";"Week 7"
"T1";"SB";"2 - 0";"Week 7"
"DWG";"GEN";"2 - 1";"Week 8"
"T1";"SP";"2 - 0";"Week 8"
"AF";"DYN";"2 - 1";"Week 8"
"KT";"HLE";"2 - 1";"Week 8"
"DRX";"SB";"2 - 0";"Week 8"
"SP";"DWG";"0 - 2";"Week 8"
"T1";"DYN";"2 - 0";"Week 8"
"KT";"GEN";"1 - 2";"Week 8"
"SB";"GEN";"1 - 2";"Week 9"
"AF";"T1";"0 - 2";"Week 9"
"KT";"SP";"2 - 0";"Week 9"
"DRX";"HLE";"2 - 0";"Week 9"
"DYN";"DWG";"0 - 2";"Week 9"
"AF";"SB";"2 - 1";"Week 9"
"HLE";"GEN";"0 - 2";"Week 9"
"DRX";"SP";"2 - 1";"Week 9"
"T1";"DWG";"0 - 2";"Week 10"
"AF";"KT";"2 - 1";"Week 10"
"SB";"HLE";"2 - 0";"Week 10"
"DYN";"SP";"2 - 0";"Week 10"
"AF";"GEN";"0 - 2";"Week 10"
"KT";"DWG";"0 - 2";"Week 10"
"DRX";"T1";"1 - 2";"Week 10"
"DYN";"HLE";"1 - 2";"Week 10"
