"Team 1";"Team 2";"Score";"Etapa"
"ISG";"AK";"0 - 1";"Week 1"
"XTN";"FG";"1 - 0";"Week 1"
"PIX";"INF";"0 - 1";"Week 1"
"R7";"UCH";"0 - 1";"Week 1"
"PIX";"ISG";"0 - 1";"Week 1"
"XTN";"UCH";"0 - 1";"Week 1"
"INF";"FG";"1 - 0";"Week 1"
"R7";"AK";"0 - 1";"Week 1"
"INF";"UCH";"0 - 1";"Week 2"
"ISG";"FG";"0 - 1";"Week 2"
"XTN";"R7";"0 - 1";"Week 2"
"PIX";"AK";"0 - 1";"Week 2"
"FG";"AK";"1 - 0";"Week 2"
"R7";"PIX";"1 - 0";"Week 2"
"XTN";"INF";"0 - 1";"Week 2"
"ISG";"UCH";"1 - 0";"Week 2"
"UCH";"AK";"0 - 1";"Week 3"
"XTN";"ISG";"0 - 1";"Week 3"
"PIX";"FG";"0 - 1";"Week 3"
"R7";"INF";"1 - 0";"Week 3"
"R7";"FG";"0 - 1";"Week 3"
"XTN";"AK";"0 - 1";"Week 3"
"PIX";"UCH";"1 - 0";"Week 3"
"ISG";"INF";"0 - 1";"Week 3"
"R7";"ISG";"1 - 0";"Week 4"
"XTN";"PIX";"1 - 0";"Week 4"
"FG";"UCH";"0 - 1";"Week 4"
"INF";"AK";"0 - 1";"Week 4"
"R7";"UCH";"1 - 0";"Week 4"
"PIX";"INF";"1 - 0";"Week 4"
"XTN";"FG";"0 - 1";"Week 4"
"ISG";"AK";"1 - 0";"Week 4"
"R7";"AK";"0 - 1";"Week 5"
"XTN";"UCH";"0 - 1";"Week 5"
"PIX";"ISG";"0 - 1";"Week 5"
"INF";"FG";"0 - 1";"Week 5"
"INF";"UCH";"1 - 0";"Week 5"
"PIX";"AK";"0 - 1";"Week 5"
"XTN";"R7";"0 - 1";"Week 5"
"ISG";"FG";"1 - 0";"Week 5"
"R7";"PIX";"1 - 0";"Week 6"
"XTN";"INF";"0 - 1";"Week 6"
"ISG";"UCH";"1 - 0";"Week 6"
"FG";"AK";"0 - 1";"Week 6"
"XTN";"ISG";"1 - 0";"Week 6"
"PIX";"FG";"1 - 0";"Week 6"
"UCH";"AK";"0 - 1";"Week 6"
"R7";"INF";"0 - 1";"Week 6"
"PIX";"UCH";"1 - 0";"Week 7"
"XTN";"AK";"0 - 1";"Week 7"
"R7";"FG";"1 - 0";"Week 7"
"ISG";"INF";"0 - 1";"Week 7"
"XTN";"PIX";"1 - 0";"Week 7"
"INF";"AK";"0 - 1";"Week 7"
"R7";"ISG";"0 - 1";"Week 7"
"FG";"UCH";"0 - 1";"Week 7"
"AK";"UCH";"1 - 0";"Week 8"
"R7";"ISG";"0 - 1";"Week 8"
"AK";"INF";"0 - 1";"Week 8"
"ISG";"UCH";"0 - 1";"Week 8"
"INF";"R7";"0 - 1";"Week 8"
"UCH";"R7";"0 - 1";"Week 8"
"ISG";"AK";"1 - 0";"Week 8"
"UCH";"INF";"1 - 0";"Week 8"
"R7";"AK";"0 - 1";"Week 8"
"INF";"ISG";"0 - 1";"Week 8"
