"Team 1";"Team 2";"Score";"Etapa"
"PNG";"FLA";"1 - 0";"Week 1"
"FUR";"ITZ";"0 - 1";"Week 1"
"SAN";"VK";"1 - 0";"Week 1"
"PRG";"KBM";"0 - 1";"Week 1"
"FLA";"ITZ";"0 - 1";"Week 1"
"FUR";"PRG";"0 - 1";"Week 1"
"VK";"KBM";"0 - 1";"Week 1"
"SAN";"PNG";"1 - 0";"Week 1"
"VK";"PRG";"1 - 0";"Week 2"
"KBM";"SAN";"0 - 1";"Week 2"
"ITZ";"PNG";"0 - 1";"Week 2"
"FLA";"FUR";"0 - 1";"Week 2"
"ITZ";"SAN";"0 - 1";"Week 2"
"PNG";"VK";"1 - 0";"Week 2"
"PRG";"FLA";"0 - 1";"Week 2"
"FUR";"KBM";"0 - 1";"Week 2"
"SAN";"FUR";"0 - 1";"Week 3"
"FLA";"VK";"1 - 0";"Week 3"
"KBM";"PNG";"0 - 1";"Week 3"
"ITZ";"PRG";"1 - 0";"Week 3"
"KBM";"FLA";"0 - 1";"Week 3"
"PRG";"SAN";"0 - 1";"Week 3"
"PNG";"FUR";"1 - 0";"Week 3"
"VK";"ITZ";"1 - 0";"Week 3"
"PNG";"PRG";"1 - 0";"Week 4"
"ITZ";"KBM";"1 - 0";"Week 4"
"FLA";"SAN";"1 - 0";"Week 4"
"FUR";"VK";"1 - 0";"Week 4"
"FLA";"PNG";"0 - 1";"Week 4"
"VK";"SAN";"0 - 1";"Week 4"
"ITZ";"FUR";"1 - 0";"Week 4"
"KBM";"PRG";"1 - 0";"Week 4"
"KBM";"VK";"1 - 0";"Week 5"
"PNG";"SAN";"1 - 0";"Week 5"
"ITZ";"FLA";"1 - 0";"Week 5"
"PRG";"FUR";"1 - 0";"Week 5"
"SAN";"KBM";"1 - 0";"Week 5"
"FUR";"FLA";"1 - 0";"Week 5"
"PRG";"VK";"1 - 0";"Week 5"
"PNG";"ITZ";"1 - 0";"Week 5"
"SAN";"ITZ";"0 - 1";"Week 6"
"FLA";"PRG";"0 - 1";"Week 6"
"KBM";"FUR";"1 - 0";"Week 6"
"VK";"PNG";"1 - 0";"Week 6"
"PRG";"ITZ";"1 - 0";"Week 6"
"PNG";"KBM";"0 - 1";"Week 6"
"VK";"FLA";"0 - 1";"Week 6"
"FUR";"SAN";"1 - 0";"Week 6"
"FUR";"PNG";"0 - 1";"Week 7"
"ITZ";"VK";"0 - 1";"Week 7"
"SAN";"PRG";"0 - 1";"Week 7"
"FLA";"KBM";"1 - 0";"Week 7"
"VK";"FUR";"0 - 1";"Week 7"
"KBM";"ITZ";"0 - 1";"Week 7"
"SAN";"FLA";"0 - 1";"Week 7"
"PRG";"PNG";"1 - 0";"Week 7"
"SAN";"VK";"1 - 0";"Week 8"
"FUR";"ITZ";"0 - 1";"Week 8"
"PNG";"FLA";"1 - 0";"Week 8"
"PRG";"KBM";"0 - 1";"Week 8"
"SAN";"PNG";"1 - 0";"Week 8"
"FUR";"PRG";"0 - 1";"Week 8"
"VK";"KBM";"0 - 1";"Week 8"
"FLA";"ITZ";"0 - 1";"Week 8"
"ITZ";"PNG";"0 - 1";"Week 9"
"KBM";"SAN";"1 - 0";"Week 9"
"FLA";"FUR";"0 - 1";"Week 9"
"VK";"PRG";"1 - 0";"Week 9"
"FUR";"KBM";"0 - 1";"Week 9"
"PRG";"FLA";"0 - 1";"Week 9"
"SAN";"ITZ";"0 - 1";"Week 9"
"PNG";"VK";"0 - 1";"Week 9"
"ITZ";"PRG";"0 - 1";"Week 10"
"KBM";"PNG";"0 - 1";"Week 10"
"FLA";"VK";"1 - 0";"Week 10"
"SAN";"FUR";"1 - 0";"Week 10"
"KBM";"FLA";"0 - 1";"Week 10"
"VK";"ITZ";"0 - 1";"Week 10"
"PRG";"SAN";"1 - 0";"Week 10"
"PNG";"FUR";"1 - 0";"Week 10"
"FUR";"VK";"1 - 0";"Week 10"
"PNG";"PRG";"0 - 1";"Week 10"
"ITZ";"KBM";"0 - 1";"Week 10"
"FLA";"SAN";"0 - 1";"Week 10"
